X,Class,onlyCPU,naive,pris,bye+pris,chain+prio
1,Qg1,198,541,391,313,362
2,Qg2,196,524,395,319,360
3,Qg3,385,684,597,387,498
4,Qg4,199,294,302,263,290
5,Qg5,270,319,318,308,310
6,Qg6,171,273,281,241,260
7,Qg7,216,638,331,299,304
8,Qg8,253,631,347,310,377
9,Qg9,205,449,387,248,274
10,Qg10,228,489,439,297,326
11,Qg11,181,200,192,181,239
12,Qg12,221,599,618,614,620
13,Qg13,239,695,605,420,449
14,AVERAGE,228,487,400,323,359
