X,Class,CPU,GPU
1,Qg1,0.9877429603,1.0062754604
2,Qg2,0.9482893326,1.0042347195
3,Qg3,0.9778630463,1.0085985264
4,Qg4,0.9826391443,0.9618244121
5,Qg5,0.9685999126,0.9727361986
6,Qg6,0.9770643977,0.965080964
7,Qg7,0.9938155237,1.0034660258
8,Qg8,0.9986438196,0.99833531
9,Qg9,0.9649679589,1.0014354618
10,Qg10,0.9569195336,1.001947209
11,Qg11,0.9791229416,0.9942170315
12,Qg12,0.9649693416,0.9973703227
13,Qg13,0.9543466152,0.9961556201
14,GEOMEAN,0.9733480472,0.9926316497
