X,Class,naive,bypass
1,Qg1,1.368033048,2.4494690184
2,Qg2,1.4054354719,2.529402261
3,Qg3,1.1739075636,2.3265508821
4,Qg4,1.1303869365,1.1630372396
5,Qg5,1.2043393333,1.206682292
6,Qg6,1.1405464358,1.1319164294
7,Qg7,1.3620971691,3.7216936484
8,Qg8,1.3862945037,3.7770966918
9,Qg9,1.3208007617,1.6790344679
10,Qg10,1.5070155901,2.0190733527
11,Qg11,0.9805953636,1.0090360864
12,Qg12,1.1530727249,1.1571837654
13,Qg13,1.6883742424,3.07856865
14,GEO,1.2815277683,1.8898554504
